villager,level,trade,base item,buy,demand,increase,price,trade_type
Armorer,Novice,Emerald,Coal,1,0,0,15,Player sells
Armorer,Novice,Emerald,Coal,2,1,0,15,Player sells
Armorer,Novice,Emerald,Coal,3,2,1,16,Player sells
Armorer,Novice,Emerald,Coal,4,3,2,17,Player sells
Armorer,Novice,Emerald,Coal,5,4,3,18,Player sells
Armorer,Novice,Emerald,Coal,6,5,3,18,Player sells
Armorer,Novice,Emerald,Coal,7,6,4,19,Player sells
Armorer,Novice,Emerald,Coal,8,7,5,20,Player sells
Armorer,Novice,Emerald,Coal,9,8,6,21,Player sells
Armorer,Novice,Emerald,Coal,10,9,6,21,Player sells
Armorer,Novice,Emerald,Coal,11,10,7,22,Player sells
Armorer,Novice,Emerald,Coal,12,11,8,23,Player sells
Armorer,Novice,Emerald,Coal,13,12,9,24,Player sells
Armorer,Novice,Emerald,Coal,14,13,9,24,Player sells
Armorer,Novice,Emerald,Coal,15,14,10,25,Player sells
Armorer,Novice,Emerald,Coal,16,15,11,26,Player sells
Armorer,Novice,Iron Helmet,Emerald,1,0,0,5,Player buys
Armorer,Novice,Iron Helmet,Emerald,2,1,1,6,Player buys
Armorer,Novice,Iron Helmet,Emerald,3,2,2,7,Player buys
Armorer,Novice,Iron Helmet,Emerald,4,3,3,8,Player buys
Armorer,Novice,Iron Helmet,Emerald,5,4,4,9,Player buys
Armorer,Novice,Iron Helmet,Emerald,6,5,5,10,Player buys
Armorer,Novice,Iron Helmet,Emerald,7,6,6,11,Player buys
Armorer,Novice,Iron Helmet,Emerald,8,7,7,12,Player buys
Armorer,Novice,Iron Helmet,Emerald,9,8,8,13,Player buys
Armorer,Novice,Iron Helmet,Emerald,10,9,9,14,Player buys
Armorer,Novice,Iron Helmet,Emerald,11,10,10,15,Player buys
Armorer,Novice,Iron Helmet,Emerald,12,11,11,16,Player buys
Armorer,Novice,Iron Chestplate,Emerald,1,0,0,9,Player buys
Armorer,Novice,Iron Chestplate,Emerald,2,1,1,10,Player buys
Armorer,Novice,Iron Chestplate,Emerald,3,2,3,12,Player buys
Armorer,Novice,Iron Chestplate,Emerald,4,3,5,14,Player buys
Armorer,Novice,Iron Chestplate,Emerald,5,4,7,16,Player buys
Armorer,Novice,Iron Chestplate,Emerald,6,5,9,18,Player buys
Armorer,Novice,Iron Chestplate,Emerald,7,6,10,19,Player buys
Armorer,Novice,Iron Chestplate,Emerald,8,7,12,21,Player buys
Armorer,Novice,Iron Chestplate,Emerald,9,8,14,23,Player buys
Armorer,Novice,Iron Chestplate,Emerald,10,9,16,25,Player buys
Armorer,Novice,Iron Chestplate,Emerald,11,10,18,27,Player buys
Armorer,Novice,Iron Chestplate,Emerald,12,11,19,28,Player buys
Armorer,Novice,Iron Leggings,Emerald,1,0,0,7,Player buys
Armorer,Novice,Iron Leggings,Emerald,2,1,1,8,Player buys
Armorer,Novice,Iron Leggings,Emerald,3,2,2,9,Player buys
Armorer,Novice,Iron Leggings,Emerald,4,3,4,11,Player buys
Armorer,Novice,Iron Leggings,Emerald,5,4,5,12,Player buys
Armorer,Novice,Iron Leggings,Emerald,6,5,7,14,Player buys
Armorer,Novice,Iron Leggings,Emerald,7,6,8,15,Player buys
Armorer,Novice,Iron Leggings,Emerald,8,7,9,16,Player buys
Armorer,Novice,Iron Leggings,Emerald,9,8,11,18,Player buys
Armorer,Novice,Iron Leggings,Emerald,10,9,12,19,Player buys
Armorer,Novice,Iron Leggings,Emerald,11,10,14,21,Player buys
Armorer,Novice,Iron Leggings,Emerald,12,11,15,22,Player buys
Armorer,Novice,Iron Boots,Emerald,1,0,0,4,Player buys
Armorer,Novice,Iron Boots,Emerald,2,1,0,4,Player buys
Armorer,Novice,Iron Boots,Emerald,3,2,1,5,Player buys
Armorer,Novice,Iron Boots,Emerald,4,3,2,6,Player buys
Armorer,Novice,Iron Boots,Emerald,5,4,3,7,Player buys
Armorer,Novice,Iron Boots,Emerald,6,5,4,8,Player buys
Armorer,Novice,Iron Boots,Emerald,7,6,4,8,Player buys
Armorer,Novice,Iron Boots,Emerald,8,7,5,9,Player buys
Armorer,Novice,Iron Boots,Emerald,9,8,6,10,Player buys
Armorer,Novice,Iron Boots,Emerald,10,9,7,11,Player buys
Armorer,Novice,Iron Boots,Emerald,11,10,8,12,Player buys
Armorer,Novice,Iron Boots,Emerald,12,11,8,12,Player buys
Armorer,Apprentice,Emerald,Iron Ingot,1,0,0,4,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,2,1,0,4,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,3,2,0,4,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,4,3,0,4,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,5,4,0,4,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,6,5,1,5,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,7,6,1,5,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,8,7,1,5,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,9,8,1,5,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,10,9,1,5,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,11,10,2,6,Player sells
Armorer,Apprentice,Emerald,Iron Ingot,12,11,2,6,Player sells
Armorer,Apprentice,Chainmail Leggings,Emerald,1,0,0,3,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,2,1,0,3,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,3,2,1,4,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,4,3,1,4,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,5,4,2,5,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,6,5,3,6,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,7,6,3,6,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,8,7,4,7,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,9,8,4,7,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,10,9,5,8,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,11,10,6,9,Player buys
Armorer,Apprentice,Chainmail Leggings,Emerald,12,11,6,9,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,1,0,0,1,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,2,1,0,1,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,3,2,0,1,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,4,3,0,1,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,5,4,0,1,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,6,5,1,2,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,7,6,1,2,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,8,7,1,2,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,9,8,1,2,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,10,9,1,2,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,11,10,2,3,Player buys
Armorer,Apprentice,Chainmail Boots,Emerald,12,11,2,3,Player buys
Armorer,Journeyman,Emerald,Lava Bucket,1,0,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,2,1,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,3,2,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,4,3,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,5,4,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,6,5,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,7,6,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,8,7,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,9,8,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,10,9,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,11,10,0,1,Player sells
Armorer,Journeyman,Emerald,Lava Bucket,12,11,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,1,0,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,2,1,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,3,2,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,4,3,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,5,4,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,6,5,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,7,6,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,8,7,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,9,8,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,10,9,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,11,10,0,1,Player sells
Armorer,Journeyman,Emerald,Diamond,12,11,0,1,Player sells
Armorer,Journeyman,Chainmail Helmet,Emerald,1,0,0,1,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,2,1,0,1,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,3,2,0,1,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,4,3,0,1,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,5,4,0,1,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,6,5,1,2,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,7,6,1,2,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,8,7,1,2,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,9,8,1,2,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,10,9,1,2,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,11,10,2,3,Player buys
Armorer,Journeyman,Chainmail Helmet,Emerald,12,11,2,3,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,1,0,0,4,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,2,1,0,4,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,3,2,1,5,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,4,3,2,6,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,5,4,3,7,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,6,5,4,8,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,7,6,4,8,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,8,7,5,9,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,9,8,6,10,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,10,9,7,11,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,11,10,8,12,Player buys
Armorer,Journeyman,Chainmail Chestplate,Emerald,12,11,8,12,Player buys
Armorer,Journeyman,Shield,Emerald,1,0,0,5,Player buys
Armorer,Journeyman,Shield,Emerald,2,1,1,6,Player buys
Armorer,Journeyman,Shield,Emerald,3,2,2,7,Player buys
Armorer,Journeyman,Shield,Emerald,4,3,3,8,Player buys
Armorer,Journeyman,Shield,Emerald,5,4,4,9,Player buys
Armorer,Journeyman,Shield,Emerald,6,5,5,10,Player buys
Armorer,Journeyman,Shield,Emerald,7,6,6,11,Player buys
Armorer,Journeyman,Shield,Emerald,8,7,7,12,Player buys
Armorer,Journeyman,Shield,Emerald,9,8,8,13,Player buys
Armorer,Journeyman,Shield,Emerald,10,9,9,14,Player buys
Armorer,Journeyman,Shield,Emerald,11,10,10,15,Player buys
Armorer,Journeyman,Shield,Emerald,12,11,11,16,Player buys
Armorer,Expert,Enchanted Diamond Leggings,Emerald,1,0,0,20,Player buys
Armorer,Expert,Enchanted Diamond Leggings,Emerald,2,1,4,24,Player buys
Armorer,Expert,Enchanted Diamond Leggings,Emerald,3,2,8,28,Player buys
Armorer,Expert,Enchanted Diamond Boots,Emerald,1,0,0,21,Player buys
Armorer,Expert,Enchanted Diamond Boots,Emerald,2,1,4,25,Player buys
Armorer,Expert,Enchanted Diamond Boots,Emerald,3,2,8,29,Player buys
Armorer,Master,Enchanted Diamond Helmet,Emerald,1,0,0,21,Player buys
Armorer,Master,Enchanted Diamond Helmet,Emerald,2,1,4,25,Player buys
Armorer,Master,Enchanted Diamond Helmet,Emerald,3,2,8,29,Player buys
Armorer,Master,Enchanted Diamond Chestplate,Emerald,1,0,0,30,Player buys
Armorer,Master,Enchanted Diamond Chestplate,Emerald,2,1,6,36,Player buys
